PID,Arrival,Burst,Start,Finish,Response,Turnaround,Waiting
P1,0,30,0,80,0,80,50
P2,1,2,2,4,1,3,1
P3,3,2,4,6,1,3,1
P4,5,2,6,8,1,3,1
P5,7,2,8,10,1,3,1
P6,9,2,10,12,1,3,1
P7,11,2,12,14,1,3,1
P8,13,2,14,16,1,3,1
P9,15,2,16,18,1,3,1
P10,17,2,18,20,1,3,1
P11,19,2,20,22,1,3,1
P12,21,2,24,26,3,5,3
P13,23,2,26,28,3,5,3
P14,25,2,28,30,3,5,3
P15,27,2,30,32,3,5,3
P16,29,2,32,34,3,5,3
P17,31,2,34,36,3,5,3
P18,33,2,36,38,3,5,3
P19,35,2,38,40,3,5,3
P20,37,2,40,42,3,5,3
P21,39,2,42,44,3,5,3
P22,41,2,46,48,5,7,5
P23,43,2,48,50,5,7,5
P24,45,2,50,52,5,7,5
P25,47,2,52,54,5,7,5
P26,49,2,54,56,5,7,5
AVG,,,,,2.50,7.50,4.42
