PID,Arrival,Burst,Start,Finish,Response,Turnaround,Waiting
P1,0,30,0,80,0,80,50
P2,1,2,2,4,1,3,1
P3,3,2,4,6,1,3,1
P4,5,2,8,10,3,5,3
P5,7,2,10,12,3,5,3
P6,9,2,14,16,5,7,5
P7,11,2,16,18,5,7,5
P8,13,2,18,20,5,7,5
P9,15,2,20,22,5,7,5
P10,17,2,24,26,7,9,7
P11,19,2,26,28,7,9,7
P12,21,2,28,30,7,9,7
P13,23,2,30,32,7,9,7
P14,25,2,34,36,9,11,9
P15,27,2,36,38,9,11,9
P16,29,2,38,40,9,11,9
P17,31,2,40,42,9,11,9
P18,33,2,42,44,9,11,9
P19,35,2,44,46,9,11,9
P20,37,2,48,50,11,13,11
P21,39,2,50,52,11,13,11
P22,41,2,52,54,11,13,11
P23,43,2,54,56,11,13,11
P24,45,2,56,58,11,13,11
P25,47,2,58,60,11,13,11
P26,49,2,62,64,13,15,13
AVG,,,,,7.27,12.27,9.19
